hidden_size,activation,optimizer,batch_size,regularization,epochs,learning_rate,loss,best_f1
4,relu,adam,8,0.001,50,0.1,focal,
4,relu,adam,8,0.001,80,0.001,mse,72.22222222222221
4,relu,adam,8,0.001,80,0.001,hinge,0.0
4,relu,adam,8,0.001,80,0.001,log,
4,relu,adam,8,0.001,80,0.001,focal,
4,relu,adam,8,0.001,80,0.01,mse,86.66666666666667
4,relu,adam,8,0.001,80,0.01,hinge,11.11111111111111
4,relu,adam,8,0.001,80,0.01,log,
4,relu,adam,8,0.001,80,0.01,focal,
4,relu,adam,8,0.001,80,0.1,mse,83.87096774193549
4,relu,adam,8,0.001,80,0.1,hinge,0.0
4,relu,adam,8,0.001,80,0.1,log,
4,relu,adam,8,0.001,80,0.1,focal,
4,relu,adam,8,0.001,100,0.001,mse,86.66666666666667
4,relu,adam,8,0.001,100,0.001,hinge,0.0
4,relu,adam,8,0.001,100,0.001,log,
4,relu,adam,8,0.001,100,0.001,focal,
4,relu,adam,8,0.001,100,0.01,mse,92.85714285714286
4,relu,adam,8,0.001,100,0.01,hinge,0.0
4,relu,adam,8,0.001,100,0.01,log,
4,relu,adam,8,0.001,100,0.01,focal,
4,relu,adam,8,0.001,100,0.1,mse,72.22222222222221
4,relu,adam,8,0.001,100,0.1,hinge,0.0
4,relu,adam,8,0.001,100,0.1,log,
4,relu,adam,8,0.001,100,0.1,focal,
4,relu,adam,8,0.01,5,0.001,mse,68.57142857142857
4,relu,adam,8,0.01,5,0.001,hinge,0.0
4,relu,adam,8,0.01,5,0.001,log,
4,relu,adam,8,0.01,5,0.001,focal,
4,relu,adam,8,0.01,5,0.01,mse,86.66666666666667
4,relu,adam,8,0.01,5,0.01,hinge,0.0
4,relu,adam,8,0.01,5,0.01,log,
4,relu,adam,8,0.01,5,0.01,focal,
4,relu,adam,8,0.01,5,0.1,mse,74.07407407407408
4,relu,adam,8,0.01,5,0.1,hinge,0.0
4,relu,adam,8,0.01,5,0.1,log,
4,relu,adam,8,0.01,5,0.1,focal,
4,relu,adam,8,0.01,10,0.001,mse,78.57142857142857
4,relu,adam,8,0.01,10,0.001,hinge,0.0
4,relu,adam,8,0.01,10,0.001,log,
4,relu,adam,8,0.01,10,0.001,focal,
4,relu,adam,8,0.01,10,0.01,mse,83.87096774193549
4,relu,adam,8,0.01,10,0.01,hinge,0.0
4,relu,adam,8,0.01,10,0.01,log,
4,relu,adam,8,0.01,10,0.01,focal,
4,relu,adam,8,0.01,10,0.1,mse,72.22222222222221
4,relu,adam,8,0.01,10,0.1,hinge,0.0
4,relu,adam,8,0.01,10,0.1,log,
4,relu,adam,8,0.01,10,0.1,focal,
4,relu,adam,8,0.01,20,0.001,mse,78.57142857142857
4,relu,adam,8,0.01,20,0.001,hinge,66.66666666666666
4,relu,adam,8,0.01,20,0.001,log,
4,relu,adam,8,0.01,20,0.001,focal,
4,relu,adam,8,0.01,20,0.01,mse,89.65517241379311
4,relu,adam,8,0.01,20,0.01,hinge,0.0
4,relu,adam,8,0.01,20,0.01,log,
4,relu,adam,8,0.01,20,0.01,focal,
4,relu,adam,8,0.01,20,0.1,mse,78.78787878787878
4,relu,adam,8,0.01,20,0.1,hinge,0.0
4,relu,adam,8,0.01,20,0.1,log,
4,relu,adam,8,0.01,20,0.1,focal,
4,relu,adam,8,0.01,30,0.001,mse,0.0
4,relu,adam,8,0.01,30,0.001,hinge,0.0
4,relu,adam,8,0.01,30,0.001,log,
4,relu,adam,8,0.01,30,0.001,focal,
